Date,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
1991-04-03,,,,,,,,,,,,,,
1991-04-04,,,,,,,,,,,,,,
1991-04-09,,,,,,,,,,,,,,
1991-04-10,,,,,,,,,,,,,,
1991-04-11,,,,,,,,,,,,,,
1991-04-12,,,,,,,,,,,,,,
1991-04-15,,,,,,,,,,,,,,
1991-04-16,,,,,,,,,,,,,,
1991-04-17,,,,,,,,,,,,,,
1991-04-18,,,,,,,,,,,,,,
1991-04-19,,,,,,,,,,,,,,
1991-04-22,,,,,,,,,,,,,,
1991-04-30,,,,,,,,,,,,,,
1991-05-03,,,,,,,,,,,,,,
1991-05-08,,,,,,,,,,,,,,
1991-05-13,,,,,,,,,,,,,,
1991-05-14,,,,,,,,,,,,,,
1991-05-17,,,,,,,,,,,,,,
1991-06-03,,,,,,,,,,,,,,
1991-06-04,,,,,,,,,,,,,,
1991-06-05,,,,,,,,,,,,,,
1991-06-06,,,,,,,,,,,,,,
1991-06-07,,,,,,,,,,,,,,
1991-06-10,,,,,,,,,,,,,,
1991-06-11,,,,,,,,,,,,,,
1991-06-12,,,,,,,,,,,,,,
1991-06-13,,,,,,,,,,,,,,
1991-06-14,,,,,,,,,,,,,,
1991-06-20,,,,,,,,,,,,,,
1991-06-28,,,,,,,,,,,,,,
1991-07-02,,,,,,,,,,,,,,
1991-07-03,,,,,,,,,,,,,,
1991-07-08,,,,,,,,,,,,,,
1991-07-09,,,,,,,,,,,,,,
1991-07-10,,,,,,,,,,,,,,
1991-07-11,,,,,,,,,,,,,,
1991-07-12,,,,,,,,,,,,,,
1991-07-15,,,,,,,,,,,,,,
1991-07-16,,,,,,,,,,,,,,
1991-07-17,,,,,,,,,,,,,,
1991-07-18,,,,,,,,,,,,,,
1991-07-19,,,,,,,,,,,,,,
1991-07-22,,,,,,,,,,,,,,
1991-07-23,,,,,,,,,,,,,,
1991-07-24,,,,,,,,,,,,,,
1991-07-25,,,,,,,,,,,,,,
1991-07-26,,,,,,,,,,,,,,
1991-07-29,,,,,,,,,,,,,,
1991-07-30,,,,,,,,,,,,,,
1991-07-31,,,,,,,,,,,,,,
1991-08-05,,,,,,,,,,,,,,
1991-08-06,,,,,,,,,,,,,,
1991-08-07,,,,,,,,,,,,,,
1991-08-08,,,,,,,,,,,,,,
1991-08-09,,,,,,,,,,,,,,
1991-08-12,,,,,,,,,,,,,,
1991-08-13,,,,,,,,,,,,,,
1991-08-14,,,,,,,,,,,,,,
1991-08-19,,,,,,,,,,,,,,
1991-08-20,,,,,,,,,,,,,,
1991-08-21,,,,,,,,,,,,,,
1991-08-22,,,,,,,,,,,,,,
1991-08-23,,,,,,,,,,,,,,
1991-08-28,,,,,,,,,,,,,,
1991-08-29,,,,,,,,,,,,,,
1991-08-30,,,,,,,,,,,,,,
1991-09-04,,,,,,,,,,,,,,
1991-09-05,,,,,,,,,,,,,,
1991-09-06,,,,,,,,,,,,,,
1991-09-09,,,,,,,,,,,,,,
1991-09-10,,,,,,,,,,,,,,
1991-09-11,,,,,,,,,,,,,,
1991-09-12,,,,,,,,,,,,,,
1991-09-13,,,,,,,,,,,,,,
1991-09-16,,,,,,,,,,,,,,
1991-09-17,,,,,,,,,,,,,,
1991-09-18,,,,,,,,,,,,,,
