,Rolling_average_correlation
1992-06-10,0.003909413646539064
1992-06-11,0.0017084798470032028
1992-06-12,0.001171010815221677
1992-06-17,0.0021399150410037603
1992-06-22,0.001916703711023787
1992-06-23,0.0021066695390767275
1992-06-24,0.0023847587420169933
1992-06-25,0.00216460201935105
1992-06-30,0.002352906228515853
1992-07-01,0.0025593493503500843
1992-07-09,0.0027613054023608646
1992-07-10,0.0030452883451248624
1992-07-13,0.002781747867440809
1992-07-14,0.002788659806038597
1992-07-15,0.002453047125932255
1992-07-16,0.0017922606571813347
1992-07-17,0.0012273600548324947
1992-07-20,-8.361024514049229e-05
1992-07-21,-0.00017481157475522752
1992-07-24,-0.0002079773982901026
1992-07-27,0.0005256794077149338
1992-07-28,0.0012695006779849091
1992-07-29,0.0014963396411607397
1992-07-30,0.0003967687766972685
1992-07-31,0.0008444642821610743
1992-08-03,0.0013596214818261145
1992-08-04,0.001403509437856331
1992-08-05,0.0018885119881409621
1992-08-06,0.0020143891916062973
1992-08-07,0.0021368143936960713
1992-08-10,0.002185829738757261
1992-08-11,0.0032767919067432016
1992-08-12,0.0023645822851888704
1992-08-13,0.004035341964395859
1992-08-14,0.004155376390398757
1992-08-17,0.0038955135174229788
1992-08-18,0.004688264118862672
1992-08-19,0.0049774995601487805
1992-08-20,0.005422001774270573
1992-08-25,0.01609545632755527
1992-08-26,0.015772082134731098
1992-08-27,0.015607861652637028
1992-08-28,0.015630738846635805
1992-09-02,0.014767770086338125
1992-09-03,0.014962549893471573
1992-09-04,0.018086101744170652
1992-09-09,0.018653165956362523
1992-09-10,0.017211327416468827
1992-09-11,0.014692134044393297
1992-09-14,0.014043686716607133
1992-09-15,0.013618690183136472
1992-09-16,0.013469026930017381
1992-09-17,0.012371120244539744
1992-09-18,0.0111217359677416
1992-09-21,0.009577208441311208
1992-09-22,0.01088966979055794
1992-09-23,0.01054168786280524
1992-09-24,0.010243628707773777
1992-09-25,0.009531693263630937
1992-09-28,0.009909006008836875
1992-09-29,0.009893874994214517
1992-09-30,0.010048568295490671
1992-10-01,0.010463133238107374
1992-10-02,0.010512099205810742
1992-10-07,0.010797585474368026
1992-10-08,0.010718029500940697
1992-10-09,0.00943022189100907
1992-10-14,0.007759692347412537
1992-10-15,0.007676159018077579
1992-10-16,0.007323152443194549
1992-10-19,0.007784245048192691
1992-10-20,0.007622388921312155
1992-10-21,0.007911634278727007
1992-10-22,0.005940364185246463
1992-10-23,0.005736964544282369
1992-10-26,0.005475117818106691
1992-10-27,0.003974988417762314
1992-10-28,0.004214758147370228
1992-10-29,0.004452663210282229
1992-10-30,0.004770468486170318
1992-11-03,0.005200225701975247
1992-11-04,0.0050553992050107206
1992-11-05,0.005168271264295286
1992-11-06,0.005135798284805872
1992-11-09,0.005296507713012137
1992-11-10,0.005644258384550483
1992-11-13,0.005535713492297048
1992-11-16,0.005252076839507007
1992-11-17,0.0056232589905756344
1992-11-20,0.005482757083328882
1992-11-23,0.006073351350226527
1992-11-24,0.006240767816291625
1992-11-25,0.006289975858380791
1992-12-01,0.007641193480374124
1992-12-02,0.006955194064841208
1992-12-03,0.007031105912748574
1992-12-04,0.007115980156886394
1992-12-07,0.007064493388413486
1992-12-08,0.007050739600192729
1992-12-09,0.007154271230722648
1992-12-10,0.007316078244623001
1992-12-11,0.0073037299006397174
1992-12-14,0.007348131302519727
1992-12-15,0.00732143271793721
1992-12-16,0.007429390487536863
1992-12-17,0.007159258504724758
1992-12-18,0.006209149025117984
1992-12-21,0.006119977883341916
1992-12-22,0.005880430866642962
1992-12-23,0.005248429681762285
1992-12-30,0.005370374054488687
1993-01-05,0.005358914038791498
